surface_id,surface_name,route,bluebird_check,refrm_check,leak_risk,verdict,notes,evidence
ISO-01,Instructor Circle / Team Comms,/admin/team-comms-hub,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-02,Admin Personal Messages,/admin/personal-messages,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-03,Teacher Inbox,/teacher/inbox,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-04,Admin Popups,/admin/popups,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-05,Admin Community Hub,/admin/community-hub,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-06,Admin Campaigns,/admin/campaigns,NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-07,Client Contact Studio conversations,/contact,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-08,Branding title + client notifications,document.title + /notifications,NOT_RUN,NOT_RUN,HIGH,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-09,Client bookings list,/bookings,NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-10,Client bookings + calendar sync family,/bookings (+ calendar export),NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-11,Client schedule location chips,/schedule,NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-12,Client schedule class chips family,/schedule,NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-13,Admin appointment types,/admin/appointments-hub (Types),NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-14,Admin Daily Focus,/admin/daily-focus,NOT_RUN,NOT_RUN,CRITICAL,NOT_RUN,Not re-walked on this tip; no current paired live capture.,
ISO-15,Client wallet credits tab,/wallet?tab=credits,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird wallet showed 16 credits/0 recovery credits with Bluebird expiry and top-up data; Refrm showed Digital Membership Pass, not Bluebird wallet data.",
ISO-16,Wallet credit packs catalogue family,/wallet?tab=credits · /purchase,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird purchase showed Bluebird Central, Bluebird 8 £112/month and Bluebird class packs; Refrm purchase showed Refrm Stevenage offers, no Bluebird catalogue. No checkout/purchase.",
ISO-17,Admin News,/admin/news,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird News showed one CENSUS TEST DRAFT article; Refrm showed 0 articles / No articles yet. No publish/create/edit.,
ISO-18,Client home activity / branding,/?view=client,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,FAIL,Bluebird client home loaded tenant activity; Refrm route showed Helgo account chooser exposing Bluebird Pilates in Business access and Memberships.,evidence/ISO-18/bluebird-client-home.png; evidence/ISO-18/refrm-client-home.png
ISO-19,Action Effectiveness (FC-011/#1172),/admin/action-effectiveness,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Both tenants showed No action effectiveness data yet; no cross-tenant intelligence and no Seed Demo.,
ISO-20,Cohorts (FC-012/#1172),/admin/intelligence/cohorts,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,FAIL,"Bluebird and Refrm both rendered the same cohort metrics/periods (0% retention; best 2025-10; weakest 2026-08), indicating Bluebird intelligence on Refrm.",evidence/ISO-20/bluebird-cohorts.png; evidence/ISO-20/refrm-cohorts.png
ISO-21,Monthly Intelligence Review (FC-014/#1172),/admin/monthly-review,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird monthly review showed September 2026 brief; Refrm remained on route with scheduled/latest brief checks and no Bluebird figures.,
ISO-22,Multi-Company Overview (FC-016/#1172),/admin,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird Overview showed Bluebird Pilates with Bluebird Central/North only; Refrm Admin Portal showed No company and no Bluebird/seven-brand list.,evidence/FC-016/bluebird-overview.png; evidence/FC-016/refrm-overview.png
ISO-23,Quarterly Review (FC-017/#1172),/admin/quarterly-review,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird quarterly review showed no scheduled executive brief; Refrm remained honest-empty/checking with no Bluebird figures.,
ISO-24,Recordings (FC-018/#1172),/admin/recordings,LIVE: checked c=150002,LIVE: checked c=150001,MEDIUM,PASS,Both tenants showed Screen recording is not switched on for this studio yet.,
