surface_id,surface_name,route,bluebird_check,refrm_check,leak_risk,verdict,notes,evidence
ISO-01,Instructor Circle / Team Comms,/admin/team-comms-hub · /teacher/chat,"PASS: Instructor Circle no channels/messages; no polls, calendar events, or groups; teacher chat empty","PASS: Instructor Circle no channels/messages; no polls, calendar events, or groups; teacher chat empty",CRITICAL,PASS,Both tenants empty on Team Comms surfaces; no Bluebird-only data on Refrm and no Refrm announcements/data on Bluebird.,batch1/ISO-01-bluebird-admin-team-comms.webp; batch1/ISO-01-refrm-admin-team-comms.webp; batch1/ISO-01-bluebird-teacher-chat.webp; batch1/ISO-01-refrm-teacher-chat.webp
ISO-02,Admin Personal Messages,/admin/personal-messages,PASS: Personal Messages shows No messages yet across categories,PASS: Personal Messages shows No messages yet across categories,CRITICAL,PASS,No messages/content names in either tenant; no Refrm announcement visible under Bluebird.,batch1/ISO-02-bluebird-personal-messages.webp; batch1/ISO-02-refrm-personal-messages.webp
ISO-03,Teacher Inbox,/teacher/inbox,PASS: Teacher Inbox shows No notifications yet,PASS: Teacher Inbox shows No notifications yet,CRITICAL,PASS,Admin-reachable Teacher View checked in both tenants; no member-feedback or other cross-tenant notifications.,batch1/ISO-03-bluebird-teacher-inbox.webp; batch1/ISO-03-refrm-teacher-inbox.webp
ISO-04,Admin Popups,/admin/popups,"PASS: Pop-ups total 0, active 0, impressions 0, conversions 0","PASS: Pop-ups total 0, active 0, impressions 0, conversions 0",CRITICAL,PASS,Both tenants have zero pop-ups; no Autumn Promotion or other cross-tenant popup content visible.,batch1/ISO-04-bluebird-popups.webp; batch1/ISO-04-refrm-popups.webp
ISO-05,Admin Community Hub,/admin/community-hub,PASS: Community shows Total Partners 0; no Fairlands/Refrm partner names.,PASS: Community shows Total Partners 0; no partner names.,CRITICAL,PASS,Both tenant views are empty; Bluebird has no Fairlands/Refrm partners.,iso29/batch2/ISO-05-bluebird-community.png; iso29/batch2/ISO-05-refrm-community.png
ISO-06,Admin Campaigns,/admin/campaigns,PASS: Campaigns shows 3 Bluebird campaigns only; New Campaign route retains ?c=150002.,PASS: Campaigns shows 0 campaigns; no Bluebird campaign names.,CRITICAL,PASS,Critical C020 retest passed: direct /admin/campaigns/new?c=150002 rendered New Campaign with the address bar still retaining ?c=150002. No save/send/publish.,iso29/batch2/ISO-06-bluebird-campaigns.png; iso29/batch2/ISO-06-refrm-campaigns.png; iso29/batch2/ISO-06-bluebird-create-persistence.webp
ISO-07,Client Contact Studio conversations,/contact,PASS: /contact shows Bluebird Central Contact Studio with no client conversations.,PASS: /contact shows Contact Studio with no client conversations.,CRITICAL,PASS,Client contact surfaces are empty in both tenants; no Refrm conversation appears under Bluebird.,iso29/batch2/ISO-07-bluebird-contact.png; iso29/batch2/ISO-07-refrm-contact.png
ISO-08,Branding title + client notifications,document.title + /notifications,PASS: document.title is Bluebird Pilates — TEST DATA (fabricated); /notifications has only preference controls and no Dynamic Pilates.,PASS: document.title is HelgoIQ; /notifications has no Dynamic Pilates title/content.,HIGH,PASS,"No REFRM Dynamic Pilates title leak observed. Bluebird title remained tenant-specific; Refrm rendered HelgoIQ, with no cross-tenant notification content.",iso29/batch2/ISO-08-bluebird-notifications.png; iso29/batch2/ISO-08-refrm-notifications.png
ISO-09,Client bookings list,/bookings,PASS: Bookings shows Upcoming (0); Past (3) are Bluebird Central and none are Stevenage.,"PASS: Bookings shows Upcoming (0), Past (0), Contacts (0).",CRITICAL,PASS,No Stevenage booking is visible under Bluebird; Refrm has no client bookings in this account.,iso29/batch2/ISO-09-bluebird-bookings-past.png; iso29/batch2/ISO-09-refrm-bookings.webp
ISO-10,Client bookings + calendar sync family,/bookings (+ calendar export),PASS: Calendar Sync shows no upcoming bookings to sync and no cross-tenant event data.,PASS: Calendar Sync shows no upcoming bookings to sync and no Bluebird event data.,CRITICAL,PASS,Calendar Sync family checked at /profile/calendar?c=150002 and ?c=150001; both empty. No export/download was activated.,iso29/batch2/ISO-10-bluebird-calendar.webp; iso29/batch2/ISO-10-refrm-calendar.webp
ISO-11,Client schedule location chips,/schedule,PASS: Schedule location selector lists Bluebird Central and Bluebird North only.,PASS: Refrm schedule renders no locations/classes; no Bluebird location chips.,CRITICAL,PASS,"Bluebird location chips are tenant-local (Central/North only); no Fairlands, Stevenage, or Refrm location appears.",iso29/batch2/ISO-11-bluebird-locations.webp; iso29/batch2/ISO-11-refrm-locations.webp
ISO-12,Client schedule class chips family,/schedule,"PASS: Bluebird schedule class chips are All, Reformer Flow, and Slow Flow; no Refrm-specific class chip/data.",PASS: Refrm schedule renders no class chips/classes.,CRITICAL,PASS,Schedule class-chip family shows only Bluebird class labels under c=150002; no Refrm classes appear.,iso29/batch2/ISO-12-bluebird-class-chips.webp; iso29/batch2/ISO-12-refrm-class-chips.webp
ISO-13,Admin appointment types,/admin/appointments-hub (Types),PASS: Types tab shows No appointment types yet; no Bluebird or Refrm types visible.,"PASS: Types tab showed no appointment types; page remained in a Loading state after refresh, with no Bluebird types visible.",CRITICAL,PASS,No cross-tenant appointment types observed; no Add Type/Add First Type flow opened.,iso29/batch3/ISO-13-bluebird-appointments-types.webp; iso29/batch3/ISO-13-refrm-appointments-types.webp
