surface_id,surface_name,route,bluebird_check,refrm_check,leak_risk,verdict,notes,evidence
ISO-01,Instructor Circle / Team Comms,/admin/team-comms-hub,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Team Communications showed no channels yet; Refrm showed no channels yet; no cross-tenant content.,evidence/ISO-01/bluebird-team-comms.png; evidence/ISO-01/refrm-team-comms.png
ISO-02,Admin Personal Messages,/admin/personal-messages,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Personal Messages showed no messages; Refrm showed no messages; no cross-tenant content.,evidence/ISO-02/bluebird-personal-messages.png; evidence/ISO-02/refrm-personal-messages.png
ISO-03,Teacher Inbox,/teacher/inbox,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Teacher Inbox showed no notifications; Refrm showed no notifications; no cross-tenant content.,evidence/ISO-03/bluebird-teacher-inbox.png; evidence/ISO-03/refrm-teacher-inbox.png
ISO-04,Admin Popups,/admin/popups,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Pop-ups showed 0 total/active/impressions/conversions; Refrm matched 0s; no cross-tenant content.,evidence/ISO-04/bluebird-popups.png; evidence/ISO-04/refrm-popups.png
ISO-05,Admin Community Hub,/admin/community-hub,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Community showed 0 partners across all columns; Refrm matched 0; no cross-tenant partner data.,evidence/ISO-05/bluebird-community-hub.png; evidence/ISO-05/refrm-community-hub.png
ISO-06,Admin Campaigns,/admin/campaigns,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird Campaigns showed 3 email campaigns and 0 sent; Refrm showed 0 campaigns/0 sent; no Bluebird campaign data leaked.,evidence/ISO-06/bluebird-campaigns.png; evidence/ISO-06/refrm-campaigns.png
ISO-07,Client Contact Studio conversations,/contact,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,Bluebird Contact showed Bluebird Central; Refrm showed generic Contact Studio; no Bluebird tenant label/content on Refrm.,evidence/ISO-07/bluebird-contact.png; evidence/ISO-07/refrm-contact.png
ISO-08,Branding title + client notifications,document.title + /notifications,LIVE: checked c=150002,LIVE: checked c=150001,HIGH,PASS,document.title was Bluebird Pilates — TEST DATA (fabricated) for c=150002 and HelgoIQ for c=150001; notifications settings were generic/tenant-safe.,evidence/ISO-08/bluebird-notifications.png; evidence/ISO-08/refrm-notifications.png
ISO-09,Client bookings list,/bookings,LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,"Bluebird bookings showed Upcoming 0, Past 3, Contacts 0; Refrm showed Upcoming 0, Past 0, Contacts 0; no cross-tenant bookings.",evidence/ISO-09/bluebird-bookings.png; evidence/ISO-09/refrm-bookings.png
ISO-10,Client bookings + calendar sync family,/bookings (+ calendar export),LIVE: checked c=150002,LIVE: checked c=150001,CRITICAL,PASS,Bluebird/Refrm calendar sync showed no upcoming bookings and no enabled export data; Bluebird bookings had Past 3 while Refrm had Past 0; no cross-tenant calendar data.,evidence/ISO-10/bluebird-calendar.png; evidence/ISO-10/refrm-calendar.png
