dashboard	Home	/admin
command-centre	AI Command Centre	/admin/command-centre
members	Members	/admin/members
timetable	Timetable	/admin/timetable
appointments-hub	Appointment Setup	/admin/appointments-hub
crm-hub	CRM & Acquisition	/admin/crm-hub
inbox	Inbox	/admin/inbox
tasks	Tasks	/admin/tasks
documents	Document Vault	/admin/documents
automation	Automation Journeys	/admin/automation
tag-hub	Tag Hub	/admin/tag-hub
audience-hub	Audience Hub	/admin/audience-hub
retention-hub	Retention & Loyalty	/admin/retention-hub
revenue-intelligence	AI Revenue Intelligence	/admin/revenue-intelligence
comm-management	Communication Management	/admin/comm-management
comms-messaging-numbers	Messaging Numbers	/admin/comms/messaging-numbers
comms-opt-outs	Opt-Out Management	/admin/comms/opt-outs
comms-message-logs	Message Logs	/admin/comms/message-logs
comms-wallet	Comms Wallet	/admin/comms/wallet
comms-intelligence	Comms Intelligence	/admin/comms/intelligence
comms-learning-registry	Learning Registry	/admin/comms/learning-registry
financial-forecasting	AI Financial Forecasting	/admin/financial-forecasting
predictive-cash-flow	AI Predictive Cash Flow	/admin/predictive-cash-flow
anomaly-alerts	AI Anomaly Detection	/admin/anomaly-alerts
finance-hub	Finance & Payments	/admin/finance-hub
bookkeeping	Bookkeeping Inbox	/admin/bookkeeping
open-banking	Open Banking	/admin/open-banking
view-as-member	View as Member	/admin/view-as-member
products	Products & Pricing	/admin/products
pt-packages	PT Packages & Courses	/admin/pt-packages
reports-hub	Reporting & Analytics	/admin/reports-hub
custom-dashboards	Custom Dashboards	/admin/custom-dashboards
recap-recordings	Recordings	/admin/recordings
overview	Overview	/admin/overview
data-migration	Data Migration	/admin/data-migration
seed-data	Seed Data	/admin/seed-data
staff-hub	Staff Hub	/admin/staff-hub
roles	Roles & Access	/admin/staff-hub?tab=roles
invite-staff	Invite Staff	/admin/staff-hub?tab=invitations
team	Team Report	/admin/team
team-holidays	Team Holidays	/admin/team-holidays
staff-milestones	Staff Milestones	/admin/staff-milestones
post-class-intelligence	Post-Class Intelligence	/admin/post-class-intelligence
devices	Linked Devices	/admin/devices
checkins	Check-Ins	/admin/checkins
kiosk-config	Kiosk Config	/admin/kiosk-config
pos-hub	POS Kiosk Hub	/admin/pos-hub
door-access	Door Access Control	/admin/door-access
safe-studio	Safe Studio	/admin/safe-studio
wallet-passes	Wallet Passes	/admin/wallet-passes
setup	Setup	/admin/setup
setup-wizard	Setup Wizard	/admin/setup/wizard
onboarding	Onboarding Wizard	/admin/onboarding
booking-messages	Booking Messages	/admin/booking-messages
splash-screens	Splash Screens	/admin/splash-screens
personal-messages	Personal Messages	/admin/personal-messages
member-feedback	Member Feedback	/admin/member-feedback
segments	Customer Segments	/admin/segments
campaigns	Campaigns	/admin/campaigns
marketing	Acquisition	/admin/marketing
news	News	/admin/news
